,OP134_C1_20230609-150121.spc
0,48797.5390625
1,48380.95703125
2,47967.12890625
3,47571.8984375
4,47205.97265625
5,46871.359375
6,46561.4140625
7,46263.859375
8,45965.35546875
9,45655.69921875
10,45330.36328125
11,44991.125
12,44644.75390625
13,44300.36328125
14,43966.09375
15,43646.01953125
16,43338.5078125
17,43036.98828125
18,42733.1796875
19,42421.43359375
20,42102.01171875
21,41781.28125
22,41468.48828125
23,41170.8046875
24,40889.52734375
25,40619.796875
26,40354.00390625
27,40086.765625
28,39818.17578125
29,39553.3359375
30,39298.4296875
31,39056.0
32,38822.6015625
33,38590.2265625
34,38350.55859375
35,38099.078125
36,37836.61328125
37,37567.59765625
38,37296.80859375
39,37027.09765625
40,36759.59375
41,36495.7109375
42,36238.89453125
43,35994.03125
44,35764.55859375
45,35549.05078125
46,35340.12890625
47,35127.0
48,34900.7265625
49,34659.37890625
50,34409.91015625
51,34165.609375
52,33940.23828125
53,33742.01171875
54,33570.3203125
55,33416.671875
56,33269.0859375
57,33117.4296875
58,32957.26171875
59,32790.515625
60,32623.185546875
61,32461.3828125
62,32307.8125
63,32160.34765625
64,32013.31640625
65,31860.798828125
66,31700.138671875
67,31533.8125
68,31368.515625
69,31211.9765625
70,31069.142578125
71,30939.8984375
72,30819.4140625
73,30700.84765625
74,30578.6328125
75,30450.5546875
76,30317.697265625
77,30182.837890625
78,30048.73046875
79,29917.451171875
80,29790.912109375
81,29671.69140625
82,29563.029296875
83,29467.623046875
84,29385.78515625
85,29314.083984375
86,29245.412109375
87,29170.53125
88,29080.62890625
89,28970.005859375
90,28838.240234375
91,28691.23828125
92,28540.578125
93,28400.91796875
94,28285.564453125
95,28201.6484375
96,28146.861328125
97,28109.892578125
98,28074.841796875
99,28027.794921875
100,27962.26953125
101,27880.58203125
102,27790.673828125
103,27700.52734375
104,27613.958984375
105,27530.265625
106,27447.580078125
107,27366.8046875
108,27292.78515625
109,27231.3125
110,27183.982421875
111,27144.8203125
112,27101.90625
113,27043.7890625
114,26967.185546875
115,26881.03515625
116,26804.16796875
117,26757.423828125
118,26754.517578125
119,26796.35546875
120,26871.400390625
121,26961.201171875
122,27047.599609375
123,27118.17578125
124,27168.06640625
125,27198.71875
126,27215.103515625
127,27223.09765625
128,27227.783203125
129,27232.748046875
130,27240.244140625
131,27251.912109375
132,27269.66015625
133,27295.912109375
134,27332.58203125
135,27378.921875
136,27429.509765625
137,27474.19140625
138,27501.126953125
139,27502.078125
140,27477.3984375
141,27437.611328125
142,27400.330078125
143,27383.55859375
144,27398.705078125
145,27446.47265625
146,27517.3984375
147,27596.099609375
148,27666.92578125
149,27718.689453125
150,27747.13671875
151,27754.986328125
152,27749.857421875
153,27740.83984375
154,27734.5625
155,27732.19140625
156,27728.78515625
157,27715.7890625
158,27685.783203125
159,27637.044921875
160,27575.294921875
161,27511.419921875
162,27456.501953125
163,27417.0
164,27392.908203125
165,27379.509765625
166,27371.234375
167,27364.853515625
168,27360.275390625
169,27359.072265625
170,27362.46484375
171,27370.47265625
172,27382.66015625
173,27399.423828125
174,27422.30859375
175,27452.689453125
176,27489.546875
177,27527.931640625
178,27559.4140625
179,27574.703125
180,27567.244140625
181,27536.1171875
182,27486.771484375
183,27429.283203125
184,27375.078125
185,27333.64453125
186,27310.849609375
187,27309.451171875
188,27331.18359375
189,27378.771484375
